Ref seq. name,sequence length,# of reads mapped,# of reads unmapped
MTCH1,2057,2,0
SAMD1,2164,2,0
SAMD8,6935,2,0
NAIP,6124,2,0
TRAPPC4,1924,2,0
CTA-722E9.1,1018,2,0
KLK4,1347,2,0
ZNF843,3816,2,0
ZNF844,6620,2,0
GPS2,1977,2,0
CARHSP1,3026,2,0
TTC14,7052,2,0
DALRD3,2987,2,0
PCDHA10,12358,2,0
CEMIP,7357,2,0
RNF123,5882,2,0
OR11A1,2611,2,0
ZCCHC17,1730,2,0
FKBP14,4960,2,0
PTGR2,4859,2,0
SLC22A23,6641,2,0
TNFAIP8L1,3845,2,0
VWA1,4511,2,0
TMEM41A,4921,2,0
RAB5C,1912,2,0
NASP,3659,2,0
VARS2,6054,2,0
RPS29,7062,2,0
MIEN1,1999,2,0
AC114271.2,2813,2,0
GLG1,8261,2,0
ENTPD6,2766,2,0
KIAA2012,5135,2,0
RNF24,7453,2,0
WDR1,4482,2,0
LINC00294,3306,2,0
TBC1D9B,5173,2,0
CKAP4,3093,2,0
COX18,6846,2,0
FAM20A,3668,2,0
LINC00641,5425,2,0
SULT2A1,1987,2,0
POLR3D,5494,2,0
RBCK1,2774,2,0
LUC7L,2737,2,0
ZNF626,5963,2,0
APAF1,7055,2,0
SWSAP1,1684,2,0
SLC25A29,5169,2,0
MIPOL1,7434,2,0
TJAP1,4312,2,0
KIAA1958,11775,2,0
DDHD1,12769,2,0
PCNXL3,7105,2,0
CTB-50L17.8,2027,2,0
ZNF789,4253,2,0
QSOX1,9311,2,0
ESYT1,4388,2,0
C5AR1,2311,2,0
ANKRD11,9301,2,0
SPATA5,8137,2,0
C18orf32,5395,2,0
HHLA2,2666,2,0
RAD51D,9988,2,0
GATAD2A,5776,2,0
KLHL7,5620,2,0
TCTN2,2918,2,0
SV2C,11035,2,0
ZNRF1,5331,2,0
COPS7B,3299,2,0
RABGGTA,2265,2,0
HIATL1,3420,2,0
HIATL2,786,2,0
CERS4,2401,2,0
THADA,6939,2,0
RSPRY1,3586,2,0
SLC14A1,3971,2,0
CLEC16A,6891,2,0
ANKAR,4410,2,0
PMM2,5409,2,0
ZNF709,4910,2,0
PHLDA1,8069,2,0
GHDC,2650,2,0
PNN,3576,2,0
MR1,7860,2,0
DMD,13956,2,0
ASAP3,4050,2,0
TM2D1,3218,2,0
MFF,3524,2,0
DYNC1LI1,4791,2,0
KCNK3,6162,2,0
LDLR,5337,2,0
XXbac-BPG299F13.17,2838,2,0
ACOX2,2426,2,0
RREB1,9067,2,0
EMC10,9446,2,0
H2AFZ,1880,2,0
ADRBK1,4493,2,0
AC138749.2,3777,2,0
UBE2D4,3974,2,0
DNAJB13,1875,2,0
FLNB,9463,2,0
REV3L,10964,2,0
NEK5,4040,2,0
NEK8,3581,2,0
RNFT2,3882,2,0
CLEC7A,3725,2,0
RPARP-AS1,2453,2,0
JMJD6,5517,2,0
APPL1,6058,2,0
AC016722.4,1835,2,0
PHOSPHO2,1253,2,0
NFATC2IP,4569,2,0
DOC2A,3749,2,0
TM9SF4,4032,2,0
ENTPD1-AS1,4241,2,0
HEXDC-IT1,1813,2,0
HSF1,3451,2,0
PRPF4B,6775,2,0
ZNF471,6287,2,0
SOGA1,14371,2,0
WNT2B,10879,2,0
HSPB1,1455,2,0
ZKSCAN3,4799,2,0
PTGIS,5579,2,0
ARFGEF2,8852,2,0
SCLY,5668,2,0
GOLGA6L22,4178,2,0
MGST3,3101,2,0
SENP2,5717,2,0
PRPF3,2595,2,0
AGRN,7394,2,0
PAICS,6480,2,0
CANX,4260,2,0
ABHD3,2080,2,0
AGO2,14581,2,0
MAPK12,6248,2,0
FZD3,13740,2,0
NUP43,3874,2,0
ZNF652,5988,2,0
WDFY2,9321,2,0
AK3,4029,2,0
NOC2L,4201,2,0
LIMS1,4666,2,0
DDX5,3558,2,0
LINC01344,2631,2,0
CEP78,11198,2,0
TST,1797,2,0
SYS1,2915,2,0
POTEC,6556,2,0
LA16c-431H6.6,5326,2,0
IRF2BPL,4157,2,0
USP34,11357,2,0
UBAP2L,3997,2,0
PIN1,4022,2,0
LACTB,2978,2,0
PUM1,5375,2,0
RAD1,5770,2,0
ZC3H8,5965,2,0
KPNA4,8981,2,0
ADM2,4276,2,0
FAM213A,5859,2,0
ARL6IP4,1782,2,0
WDR11-AS1,2500,2,0
SPTLC2,8170,2,0
DGAT2,5926,2,0
DCAKD,2122,2,0
PLEKHH3,4339,2,0
CCDC169,5944,2,0
C3orf62,4235,2,0
ARRB1,3336,2,0
AC007191.4,2995,2,0
METTL2A,3150,2,0
GEMIN6,3728,2,0
KIF18B,4217,2,0
SMG1,16115,2,0
INPP5B,4694,2,0
VPS37C,2865,2,0
VPS35,6790,2,0
UPF3A,2423,2,0
SHISA9,6724,2,0
MIR3180-4,2118,2,0
MIR3180-2,1459,2,0
MIR3180-3,1459,2,0
MIR3180-1,1459,2,0
ETF1,3874,2,0
FBXW2,9138,2,0
BPTF,11292,2,0
KRTAP9-3,992,2,0
NPEPPS,4698,2,0
SPAST,5212,2,0
DCAF10,7393,2,0
KLHL26,4407,2,0
POLG,4668,2,0
C2CD2L,5931,2,0
NUDT22,2055,2,0
GALNT6,5207,2,0
GALNT3,3868,2,0
DMWD,3305,2,0
WDR27,3511,2,0
AC068831.6,1858,2,0
ICAM3,2491,2,0
MMS22L,8643,2,0
LYPD1,1891,2,0
DBP,5756,2,0
AFP,2484,2,0
PPP5C,4675,2,0
ZFR,4738,2,0
R3HDM2,4372,2,0
CD3G,2678,2,0
RHOC,2199,2,0
CTNNA1,3831,2,0
ZNF487,2745,2,0
TMEM184C,4178,2,0
AC009133.17,1656,2,0
RP5-1181K21.4,1896,2,0
DHTKD1,5159,2,0
NABP1,11521,2,0
OSBPL10,7723,2,0
HDAC10,2687,2,0
INF2,7578,2,0
ELMOD3,4761,2,0
FAM83H-AS1,2737,2,0
CCDC80,12430,2,0
TOP2B,5389,2,0
C12orf76,2204,2,0
CENPV,1770,2,0
CABIN1,7480,2,0
ZNF765,7588,2,0
BOLA3,2982,2,0
KANSL3,5253,2,0
ITPRIPL2,7247,2,0
PDXDC2P,4184,2,0
STEAP3,4262,2,0
CHPT1,4342,2,0
INTS1,6959,2,0
MYL5,2956,2,0
DNTTIP2,5897,2,0
CORO2A,5635,2,0
PLXNA3,10885,2,0
MAP2K2,2926,2,0
MINK1,5299,2,0
KDM5D,5579,2,0
ETV4,2429,2,0
WIZ,5695,2,0
SPPL2A,7372,2,0
GPT2,4228,2,0
PBX2,3211,2,0
CHD2,9363,2,0
SKIV2L,4507,2,0
PRDM15,7072,2,0
SBF1,8008,2,0
CAMSAP3,4179,2,0
TPCN1,5345,2,0
CDK12,8336,2,0
RP5-1024N4.4,1674,2,0
YIF1B,1917,2,0
RHD,3007,2,0
ATG16L1,4208,2,0
DDX25,7555,2,0
RAB3IP,9646,2,0
NT5C,1315,2,0
PTCD3,6734,2,0
NMNAT1,3781,2,0
TPX2,3605,2,0
LGR4,5206,2,0
CDKN1A,2267,2,0
LONRF2,13912,2,0
NUDCD2,8005,2,0
GTPBP4,5075,2,0
PLK1,4135,2,0
MDK,1339,2,0
IVD,4251,2,0
PFDN6,1917,2,0
MROH6,3469,2,0
MAD1L1,2991,2,0
LINC01152,3578,2,0
NOA1,3415,2,0
ARNTL2,6785,2,0
ZNF320,6448,2,0
PARP14,8437,2,0
GANAB,3906,2,0
METTL22,4984,2,0
HEXDC,2285,2,0
CA13,3815,2,0
TPM3,4041,2,0
TPM1,3957,2,0
LINC01270,2281,2,0
ZNF610,2723,2,0
LINC01422,6043,2,0
FSCN1,2777,2,0
CTA-228A9.3,1433,2,0
TACC2,9673,2,0
ZNF555,8557,2,0
STK4,6342,2,0
GSG1,2390,2,0
NCKAP1L,9016,2,0
CLPTM1L,3540,2,0
SUSD2,4938,2,0
INADL,8505,2,0
HAUS3,5620,2,0
SGK1,5474,2,0
SLC39A5,2031,2,0
SLC39A7,2409,2,0
SCAF8,5057,2,0
TMEM63A,5407,2,0
RBM7,6725,2,0
CA6,1493,2,0
AKIP1,1421,2,0
ENOX1-AS1,3907,2,0
TTC39B,10483,2,0
TNIP3,2416,2,0
PLEKHB2,4349,2,0
JMJD7-PLA2G4B,7227,2,0
FBXO9,4559,2,0
SNTB2,9789,2,0
LINC01001,2553,2,0
PLXNB2,6383,2,0
SIRT7,3445,2,0
MFAP2,2371,2,0
SNX1,8119,2,0
SNX5,3931,2,0
RRP1,3022,2,0
ZNF716,5197,2,0
CRLS1,3958,2,0
LRG1,3036,2,0
HP1BP3,4822,2,0
RCCD1,3157,2,0
NUDT4,9753,2,0
RPLP1,1962,2,0
RABL2A,2904,2,0
RABL2B,2498,2,0
XPO7,4861,2,0
TTN,109224,2,0
PJA1,2755,2,0
SFT2D2,11040,2,0
RNF43,5575,2,0
NCOR2,8533,2,0
NCOR1,10720,2,0
CCDC142,3406,2,0
FAM3B,2742,2,0
TUBB4B,2035,2,0
GFOD1,8751,2,0
CPT1A,5232,2,0
ZADH2,7732,2,0
ZBTB40,8992,2,0
SLFNL1-AS1,4800,2,0
ATXN7,7224,2,0
STRIP1,4870,2,0
MICALL1,4710,2,0
SCARB1,5527,2,0
LINC01160,894,2,0
CASP4,4745,2,0
TAF1D,4358,2,0
HES2,4262,2,0
RTN4,4790,2,0
HUWE1,14796,2,0
WBSCR22,3886,2,0
METTL7A,4076,2,0
AC130310.1,2175,2,0
PLXDC1,6252,2,0
LSM6,1352,2,0
PRODH2,1956,2,0
PCDHB9,4415,2,0
PCDHB1,8210,2,0
KIAA0101,2194,2,0
URM1,3045,2,0
PDCD2L,1227,2,0
PON2,1745,2,0
ADARB2,8421,2,0
LSM14B,2548,2,0
TRMT11,2093,2,0
ZNF70,6924,2,0
UCKL1,1954,2,0
BSND,3472,2,0
14-Sep,3785,2,0
ACTG1,2256,2,0
RPS15A,3828,2,0
SIK2,9678,2,0
CUTA,1378,2,0
LIPG,10441,2,0
CTA-212A2.2,2205,2,0
TMEM25,3241,2,0
QRICH2,5359,2,0
ADAMTS4,9773,2,0
CDH1,4889,2,0
RPL41,699,2,0
FGD4,8242,2,0
MEGF6,5455,2,0
ARID3A,5941,2,0
C19orf40,2298,2,0
PLEC,15249,2,0
TNFRSF13B,1978,2,0
P3H3,3226,2,0
P3H1,3001,2,0
EFR3B,7434,2,0
FAHD2A,4757,2,0
LA16c-390H2.4,2775,2,0
GGNBP2,3497,2,0
AACS,6646,2,0
ABCC1,6607,2,0
ZNF283,5713,2,0
CFL2,6747,2,0
SLFN13,8469,2,0
PLEKHG1,7237,2,0
RNF13,2866,2,0
HRH4,3668,2,0
CCDC115,3562,2,0
FRG1,1074,2,0
GGCX,7569,2,0
SMOC1,3666,2,0
LYRM2,5353,2,0
ZNF853,3857,2,0
SRSF2,2885,2,0
TTYH1,3878,2,0
ZNF329,3930,2,0
PUF60,2412,2,0
HNF4A,6445,2,0
TMA7,688,2,0
SCIN,9713,2,0
CDK5RAP3,2759,2,0
WRAP73,6089,2,0
SERGEF,1566,2,0
CES2,3927,2,0
KLF10,3659,2,0
NDUFS2,2064,2,0
FRAS1,15624,2,0
HINT2,2167,2,0
PYCR2,3149,2,0
ZNF430,3923,2,0
TMEM167A,4630,2,0
COX7B,2471,2,0
EPM2AIP1,8126,2,0
KLHL36,6488,2,0
GAPVD1,8923,2,0
MAP1LC3B,3085,2,0
GIGYF1,6530,2,0
CTA-221G9.12,957,2,0
LTBP3,4700,2,0
MBD6,4282,2,0
IRF5,2786,2,0
C1orf159,3315,2,0
TRIM69,5691,2,0
DGKZ,5737,2,0
DIS3L2,4671,2,0
FPGS,2279,2,0
VMA21,4717,2,0
TBL1X,5871,2,0
GOLGA6L6,4013,2,0
GOLGA6L1,3619,2,0
CUL9,8150,2,0
ANXA11,6965,2,0
ZDHHC4,1942,2,0
ENOSF1,6340,2,0
F11R,4835,2,0
C14orf80,4437,2,0
SIN3B,5129,2,0
SIN3A,6737,2,0
MEX3B,4333,2,0
S1PR2,3582,2,0
SGSM1,6643,2,0
PHLPP2,8467,2,0
RPL13,4498,2,0
TOP3A,4116,2,0
SAT2,1563,2,0
PATZ1,3781,2,0
DRAXIN,7346,2,0
VLDLR-AS1,3167,2,0
KIR3DX1,4304,2,0
GDI1,4069,2,0
SLCO4A1,3092,2,0
HDGFRP2,3100,2,0
HDGFRP3,12733,2,0
ARHGEF39,4498,2,0
C14orf2,1659,2,0
COG8,4247,2,0
PCBP1,1750,2,0
LZTS1,5706,2,0
FAM57A,2412,2,0
TMEM181,5390,2,0
PRR13,1375,2,0
PRR11,2334,2,0
PRR19,1956,2,0
TAF4,4628,2,0
TMEM41B,3968,2,0
CNOT3,4517,2,0
SLC12A9,4462,2,0
DTYMK,1232,2,0
TCF25,2377,2,0
LENG8,5789,2,0
CC2D1B,5642,2,0
CCR4,3095,2,0
ZNF512B,5921,2,0
PABPC4,3592,2,0
ID1,1233,2,0
OSGEP,3258,2,0
SH2B1,6043,2,0
ESRP2,3793,2,0
THOC5,4753,2,0
BBX,8930,2,0
CEP131,3673,2,0
MPV17,2315,2,0
NGRN,7237,2,0
CDHR2,4509,2,0
STARD9,15567,2,0
C15orf59,6573,2,0
DDX17,6441,2,0
ZNF121,7177,2,0
GPR82,3349,2,0
OSMR,5539,2,0
FOXK1,11181,2,0
TOX4,4711,2,0
BAIAP2-AS1,4465,2,0
RPF2,3621,2,0
ZNF681,6497,2,0
DLK2,2038,2,0
POU2F2,6901,2,0
TOR1AIP1,8704,2,0
RNF185,3315,2,0
RNF181,844,2,0
SYT12,6028,2,0
SYT15,6428,2,0
GSTT1,4377,2,0
AC113167.1,584,2,0
BEND3,6654,2,0
TAF1C,4637,2,0
TAF1L,6216,2,0
CLOCK,10304,2,0
SPIN2A,2468,2,0
SPATA24,909,2,0
ZC3HC1,2017,2,0
CINP,4270,2,0
RAB36,3828,2,0
RAB3D,4273,2,0
KIAA0907,4499,2,0
ZNF724P,2764,2,0
GPR111,5126,2,0
RPS4X,1820,2,0
SNAPIN,1205,2,0
RP5-965G21.4,2335,2,0
NBPF15,4707,2,0
SLC25A3,6087,2,0
KIAA1456,9587,2,0
INTS3,5741,2,0
Z99756.1,1951,2,0
ATCAY,5070,2,0
DECR2,2062,2,0
BHLHB9,5130,2,0
LPIN3,4363,2,0
CEACAM4,1205,2,0
MLX,2586,2,0
ADD1,5179,2,0
IK,1964,2,0
ILF3-AS1,1983,2,0
OR51E2,2781,2,0
CNP,5217,2,0
TMEM106A,3266,2,0
SEMA4G,4656,2,0
ZNF195,3342,2,0
OTUD3,6397,2,0
CRAMP1L,7772,2,0
PLEKHA1,14010,2,0
PLEKHA2,5582,2,0
GPR39,2784,2,0
CLDN18,3520,2,0
ZNF527,5333,2,0
ZNF528,4809,2,0
TBCA,2301,2,0
GPX4,1184,2,0
GRAMD1A,2825,2,0
ST6GALNAC2,5654,2,0
KIF13B,8745,2,0
APOPT1,2523,2,0
KNOP1,6432,2,0
PCDHGA6,5650,2,0
GRHPR,4762,2,0
PSPN,3911,2,0
RF00026_U6,107,1,0
RF00155_SNORA66,133,1,0
RF00567_SNORD17,237,1,0
AC090587.2,2843,1,0
ITGA8,6755,1,0
CHST9,11388,1,0
ITGAX,4703,1,0
SLC36A3,3558,1,0
SCYL1,2715,1,0
PHACTR4,6190,1,0
GSDMC,2714,1,0
VMP1,4325,1,0
ERGIC3,2846,1,0
B3GAT3,2056,1,0
CALM3,2536,1,0
GSDMD,3462,1,0
AC004156.3,1882,1,0
AC138035.2,1066,1,0
LRRC27,6374,1,0
KIAA1522,5438,1,0
LRRC20,3414,1,0
LPCAT3,2902,1,0
LPCAT1,5610,1,0
CCDC170,5293,1,0
SEC61A1,3635,1,0
LINC00324,2082,1,0
EPHB4,5058,1,0
SLC36A2,3421,1,0
GGA1,3205,1,0
GJC1,7640,1,0
PSMB4,2067,1,0
PNMA2,4965,1,0
STRN,8168,1,0
ZNF835,3450,1,0
PHAX,4288,1,0
SYT8,3534,1,0
SMPD4,4896,1,0
ENO1,2266,1,0
CCDC78,3458,1,0
EPB41L2,4457,1,0
ZBTB7B,4017,1,0
DNPH1,834,1,0
ILF2,1906,1,0
UBE2G2,4340,1,0
LMX1B,5809,1,0
TSPEAR-AS1,2108,1,0
ADAM15,4508,1,0
NDEL1,3927,1,0
SHANK2,9426,1,0
PCSK6,4409,1,0
C11orf1,2885,1,0
USE1,1776,1,0
CDC34,1466,1,0
PGLS,1601,1,0
ATP7B,6638,1,0
MPHOSPH8,4235,1,0
SIRPG-AS1,2795,1,0
C5orf22,3612,1,0
TP73-AS1,6358,1,0
CDC42EP4,3272,1,0
CLINT1,3987,1,0
C4B,5460,1,0
NHP2L1,1670,1,0
NUCKS1,6496,1,0
DDI2,10625,1,0
XRCC3,3668,1,0
MT-CO1,1542,1,0
TTPAL,6234,1,0
CLMN,12747,1,0
ZNF252P-AS1,3236,1,0
ZNF213,5889,1,0
HIRA,4053,1,0
EZR,3096,1,0
CCBL1,2490,1,0
SIPA1L3,7987,1,0
ALG2,2966,1,0
SLK,7766,1,0
CYB561D2,1533,1,0
FADS1,4525,1,0
ZNF384,3266,1,0
LINC01554,2052,1,0
EFCAB11,3095,1,0
WDR18,1608,1,0
FAM204A,13889,1,0
KDM6A,5924,1,0
LDLRAD2,4012,1,0
KCTD15,4918,1,0
SLC25A30,6041,1,0
RIMKLA,8909,1,0
POMT1,3420,1,0
POMT2,5647,1,0
SSBP4,1768,1,0
MYLK3,6911,1,0
PQLC2,2153,1,0
FAM122C,2483,1,0
CYP2D6,2257,1,0
CYP2D7,1740,1,0
NUP62,3590,1,0
RAB17,3211,1,0
DCXR,1251,1,0
NFYA,3811,1,0
SKIL,7182,1,0
DPH1,2607,1,0
DPH5,2159,1,0
GDF11,8657,1,0
LINC00937,3033,1,0
AC114730.7,668,1,0
KIAA1875,7119,1,0
MRPS17,1845,1,0
CDK2AP2,1692,1,0
MLYCD,13038,1,0
NKIRAS2,4213,1,0
FAT1,14786,1,0
PLCD3,6107,1,0
ISYNA1,2420,1,0
AC020956.3,2265,1,0
NADK2,3614,1,0
SLC38A6,2787,1,0
YBX2,4553,1,0
RIF1,15003,1,0
ZNF492,4245,1,0
MTRNR2L3,1539,1,0
MTRNR2L1,1553,1,0
MCPH1,8039,1,0
DEXI,1561,1,0
FANCF,4269,1,0
HNRNPAB,1796,1,0
HNRNPA1,4121,1,0
KRIT1,4762,1,0
CTSD,2123,1,0
CTSS,4107,1,0
PDPR,9255,1,0
STK40,4837,1,0
LYZ,1530,1,0
PLAC4,10009,1,0
NACA,6629,1,0
USP11,3515,1,0
SLC35E2B,6283,1,0
ZNF516,8118,1,0
C11orf31,1454,1,0
VAC14-AS1,4853,1,0
SEPSECS-AS1,4055,1,0
C1orf86,4478,1,0
RNF207,3924,1,0
STRA6,2887,1,0
SIGLEC10,3109,1,0
YWHAZ,5248,1,0
ROCK1,9484,1,0
WNK4,4001,1,0
MORN3,3803,1,0
PLD3,2180,1,0
DOCK8,9277,1,0
DOCK6,6358,1,0
C8orf44,1835,1,0
SMIM12,3454,1,0
COL9A3,2485,1,0
GLB1L3,3862,1,0
TSR1,5188,1,0
RAD51-AS1,1151,1,0
TXNL1,6894,1,0
SRSF12,3599,1,0
MXRA8,2728,1,0
ITGB5,4372,1,0
USP36,6063,1,0
NEIL1,3759,1,0
HNRNPK,2942,1,0
ABCB4,4020,1,0
GOLGB1,11198,1,0
SNRNP200,7165,1,0
SPEF2,6246,1,0
ZNF276,4589,1,0
ITGA11,10192,1,0
MAML1,6559,1,0
HERC1,15137,1,0
HERC2,15337,1,0
CHRNA5,3623,1,0
LINC00311,1566,1,0
ARFRP1,5178,1,0
PPHLN1,5975,1,0
TRAPPC3,2428,1,0
AC093627.10,5008,1,0
C9orf114,4286,1,0
TUG1,5673,1,0
RELN,11571,1,0
RELA,3183,1,0
HDGF,2380,1,0
PTRH2,4114,1,0
CTC-453G23.7,1614,1,0
ZNF592,8131,1,0
ZNF598,4457,1,0
FDFT1,2660,1,0
CYP27A1,2566,1,0
ZNF333,4672,1,0
UGDH,3216,1,0
ZNF33A,6196,1,0
DYNLL1,1376,1,0
EPG5,12633,1,0
FBXO45,5899,1,0
KIAA1217,7383,1,0
LRRK1,11632,1,0
TGFB1I1,4973,1,0
RNF125,6020,1,0
SIAH2,2517,1,0
DDX27,4929,1,0
ANTXR1,5859,1,0
CH507-154B10.1,5990,1,0
MRI1,3027,1,0
ZNF80,2555,1,0
TRPC4AP,3226,1,0
HLA-B,1605,1,0
HLA-A,5436,1,0
PPP1R14B,982,1,0
TRMU,2933,1,0
CHERP,4173,1,0
SEC14L6,3392,1,0
LTA4H,6109,1,0
DSC2,12325,1,0
NIT2,7289,1,0
NUP155,8143,1,0
MAPK1,11022,1,0
GPBP1L1,3736,1,0
SLC43A2,8136,1,0
SLC43A1,2598,1,0
LINC01515,1339,1,0
GPRIN3,14244,1,0
KIAA0226,6955,1,0
RAB5B,5340,1,0
AC090044.2,497,1,0
ZFAS1,1075,1,0
NOSIP,2615,1,0
KCTD20,5619,1,0
LINC01492,3738,1,0
WDR6,4401,1,0
DIAPH1,5795,1,0
TRIM58,3225,1,0
GSTZ1,5356,1,0
HSD17B7,2541,1,0
PARD3,6005,1,0
TNFRSF25,3483,1,0
ACADSB,5859,1,0
MRPS16,2634,1,0
SSR1,9669,1,0
LINC01125,1356,1,0
BECN1,4865,1,0
FLVCR1-AS1,2525,1,0
ABL2,12144,1,0
AARS,3477,1,0
KIAA0195,5632,1,0
MFSD11,3612,1,0
CCAR2,4853,1,0
EWSR1,7285,1,0
SLC47A1,3280,1,0
PINK1,3821,1,0
CIPC,4486,1,0
XAB2,4555,1,0
NPTN,2817,1,0
DCAF8,4106,1,0
LARGE,5368,1,0
LAIR1,4903,1,0
CDK11A,2653,1,0
CDK11B,2998,1,0
SCRN1,5275,1,0
ARPP19,5362,1,0
TMEM208,1525,1,0
KIAA1324,5968,1,0
CXorf38,4895,1,0
HPD,1709,1,0
ZNF625,1678,1,0
ZNF620,3291,1,0
ZNF621,6378,1,0
BRWD1,12929,1,0
TBC1D10B,4614,1,0
TBC1D10A,5562,1,0
JAK3,5432,1,0
ACO2,2811,1,0
ITM2B,10137,1,0
ZNF546,7987,1,0
JAKMIP2,9272,1,0
NMT2,2907,1,0
SDE2,3975,1,0
CCAR1,4683,1,0
DNAJC16,6299,1,0
DNAJC17,3731,1,0
DNAJC18,5103,1,0
NUP214,7600,1,0
KIAA0319L,4789,1,0
HOGA1,2581,1,0
UBE3C,5229,1,0
GET4,4356,1,0
TBC1D16,10936,1,0
ZBED1,4510,1,0
MPHOSPH9,6351,1,0
CTAGE5,4091,1,0
ESYT2,5960,1,0
CYP4V2,8646,1,0
GPBP1,4683,1,0
MAT2B,3409,1,0
CASC4,3962,1,0
FAM213B,2827,1,0
NAALADL1,2699,1,0
SNHG3,2614,1,0
RAD51C,2591,1,0
THTPA,2860,1,0
S100A10,1202,1,0
S100A13,2184,1,0
UBQLN1,6055,1,0
DAPK2,8086,1,0
GRB14,2382,1,0
HEATR5B,6905,1,0
SPIRE2,3235,1,0
RABGGTB,3863,1,0
C11orf54,4094,1,0
GANC,7781,1,0
TUBB,2904,1,0
HDAC6,4832,1,0
TRAPPC13,5994,1,0
CMC2,10301,1,0
PHKB,5464,1,0
UBAP1L,7377,1,0
EPB41L4A,4707,1,0
ACSF3,7020,1,0
POC1A,1999,1,0
ODF2L,7560,1,0
GSTK1,2692,1,0
ZNF700,3113,1,0
ZNF707,3031,1,0
DENND4A,8665,1,0
BFAR,3042,1,0
CHFR,11133,1,0
IGFBP2,4414,1,0
FAM157C,2184,1,0
AP2A2,4656,1,0
SEH1L,5206,1,0
KB-1572G7.2,3041,1,0
ZNRF3-AS1,2170,1,0
FAM214B,5771,1,0
ASAP1,6344,1,0
RHPN1,3789,1,0
TM2D2,3295,1,0
AC137932.4,3660,1,0
ABCG5,3033,1,0
CTB-152G17.6,2646,1,0
TMEM132A,3981,1,0
ATP6V0A2,6542,1,0
LMNA,3190,1,0
CCM2,5304,1,0
ARPC4-TTLL3,2466,1,0
SAMHD1,4784,1,0
REC8,2720,1,0
PHC3,12666,1,0
TEX41,4635,1,0
YTHDF3,5193,1,0
YAF2,5095,1,0
TMEM45A,4615,1,0
ZGPAT,2831,1,0
UBE2D3,4819,1,0
CABP1,3048,1,0
KIAA0513,7772,1,0
APBA2,4031,1,0
SSUH2,3219,1,0
LGALS3BP,2405,1,0
MRPL46,5561,1,0
MRPL48,1922,1,0
CCDC9,2093,1,0
ECE1,5099,1,0
TRMT2B,3327,1,0
NCR3LG1,6438,1,0
LY6G5C,1701,1,0
IL13RA1,4036,1,0
MRPS23,5621,1,0
ZNF786,3144,1,0
PINK1-AS,4443,1,0
SIGMAR1,1743,1,0
HS3ST5,3901,1,0
LINC01170,650,1,0
CLPX,4695,1,0
AP000892.6,5326,1,0
PSAP,2866,1,0
KRT18,2088,1,0
NBPF3,4401,1,0
ADD3-AS1,6326,1,0
SPATS2L,6156,1,0
TMEM178B,10558,1,0
PLA2G4F,5587,1,0
GNG4,5104,1,0
SMARCE1,5840,1,0
SMYD2,4732,1,0
CLK2,2702,1,0
SLC35F6,3898,1,0
MEGF9,6298,1,0
RORB,9551,1,0
KPNA6,7378,1,0
B4GALT5,4722,1,0
ZKSCAN2,7523,1,0
TMEM182,3593,1,0
TMEM180,2852,1,0
TAF6,2727,1,0
TAF1,7722,1,0
TSPAN32,3325,1,0
PDXK,7366,1,0
MAP1B,12036,1,0
RP5-1024G6.7,3591,1,0
MINA,5347,1,0
HDLBP,6372,1,0
DXO,2093,1,0
LSR,2480,1,0
SNRPB2,2452,1,0
ACTR1A,3519,1,0
SHARPIN,1765,1,0
EIF2B5-AS1,571,1,0
AC010127.3,2305,1,0
RABL6,3969,1,0
BNIPL,2336,1,0
TRIM25,5734,1,0
TMPO,4242,1,0
NAP1L1,13505,1,0
SLC48A1,3010,1,0
KANK2,5162,1,0
SSU72,4176,1,0
AGO1,12790,1,0
FAM120A,5118,1,0
FZD4,7383,1,0
PICK1,2531,1,0
C1RL,3394,1,0
MECR,2416,1,0
TBCK,8101,1,0
TBCD,7168,1,0
SLC24A1,5768,1,0
EXOSC1,2113,1,0
CTB-127C13.1,2686,1,0
SPECC1,8133,1,0
LIMS2,4807,1,0
SUN2,4055,1,0
IDH3G,1712,1,0
EOGT,4731,1,0
RBSN,6678,1,0
ZNF211,2759,1,0
LINC01348,3262,1,0
RBM12B-AS1,653,1,0
PHYHD1,2133,1,0
ACAD10,4071,1,0
HMBS,2112,1,0
JTB,1287,1,0
KAZN,6030,1,0
DDX39B,5159,1,0
VPS9D1,2791,1,0
ACTB,2245,1,0
MT1F,1573,1,0
ARHGAP19,5525,1,0
CERCAM,5201,1,0
PUS1,4094,1,0
TRAPPC2L,3102,1,0
AMICA1,5610,1,0
CBFA2T2,7803,1,0
C9orf89,2690,1,0
USP32,5171,1,0
PPFIBP1,6001,1,0
UHRF1BP1,9570,1,0
TNRC18,10572,1,0
SMOX,2322,1,0
C12orf43,4469,1,0
AKR1A1,1818,1,0
HECW2,11809,1,0
SLC25A32,2891,1,0
TFAM,5414,1,0
DAZAP2,3664,1,0
APOL1,3000,1,0
VWC2,11299,1,0
TMEM245,7980,1,0
NCAPH,2952,1,0
NONO,3215,1,0
PABPC1L,2223,1,0
SLC8A1,20987,1,0
ZBED6,4250,1,0
PIK3R2,5142,1,0
CECR2,9645,1,0
UBOX5,4631,1,0
ANKRD9,6727,1,0
PRKAR1A,4327,1,0
CHAF1B,4480,1,0
BIN3,3589,1,0
VARSL,6054,1,0
PLEKHH2,6981,1,0
